# t (s)	mx ()	my ()	mz ()	m_z_yrange7_ ()	I_x (A)	ext_dwxpos (m)
7.700225266816804e-10	0.1074416	0.00021460981	-0.6606475	-0.66177416	-8e-06	1.3623594e-08
7.800335422345742e-10	0.107441895	0.0002368661	-0.6606237	-0.6617503	-8e-06	1.3623632e-08
7.900446145146084e-10	0.10744232	0.00025808573	-0.66059417	-0.6617206	-8e-06	1.3623687e-08
8.000029616161899e-10	0.10744288	0.00027801335	-0.6605594	-0.6616856	-8e-06	1.3623757e-08
8.100139705099923e-10	0.1074436	0.00029672045	-0.6605195	-0.6616454	-8e-06	1.3623849e-08
8.200250103136598e-10	0.10744432	0.00031399608	-0.66047496	-0.66160053	-8e-06	1.3623939e-08
8.30036016198433e-10	0.10744503	0.00032971878	-0.6604262	-0.6615514	-8e-06	1.3624028e-08
8.400470549577923e-10	0.107445866	0.0003438342	-0.6603736	-0.66149855	-8e-06	1.3624135e-08
8.500054226172946e-10	0.10744683	0.00035624474	-0.6603182	-0.66144264	-8e-06	1.3624257e-08
8.600164724951626e-10	0.10744787	0.00036704665	-0.66025966	-0.6613836	-8e-06	1.3624388e-08
8.700275259667345e-10	0.107448936	0.00037604602	-0.6601987	-0.66132236	-8e-06	1.3624526e-08
8.800385490365204e-10	0.10745002	0.00038320082	-0.660136	-0.6612591	-8e-06	1.3624663e-08
8.90049599495933e-10	0.10745115	0.0003885581	-0.6600718	-0.66119456	-8e-06	1.3624804e-08
9.000079577272837e-10	0.10745232	0.0003921033	-0.66000724	-0.6611295	-8e-06	1.3624954e-08
9.100190035661827e-10	0.1074535	0.00039389695	-0.6599419	-0.66106373	-8e-06	1.3625104e-08
9.200300358912946e-10	0.1074547	0.00039393068	-0.65987676	-0.6609981	-8e-06	1.36252565e-08
9.300410633458272e-10	0.10745593	0.00039220884	-0.65981215	-0.6609331	-8e-06	1.3625413e-08
9.400521118068253e-10	0.107457116	0.00038878724	-0.65974873	-0.6608692	-8e-06	1.3625564e-08
9.500104969894773e-10	0.10745831	0.0003837717	-0.65968704	-0.6608071	-8e-06	1.3625712e-08
9.600215624569972e-10	0.10745946	0.0003771872	-0.659627	-0.6607465	-8e-06	1.3625859e-08
9.700326040825071e-10	0.10746056	0.00036914114	-0.65956926	-0.66068834	-8e-06	1.3626e-08
9.800436452701386e-10	0.107461624	0.0003597343	-0.65951425	-0.6606329	-8e-06	1.3626135e-08
9.9000200642754e-10	0.107462645	0.00034910208	-0.65946233	-0.6605807	-8e-06	1.3626261e-08
1.0000130377285772e-09	0.107463606	0.00033722934	-0.65941364	-0.66053164	-8e-06	1.3626385e-08
1.0100240862976194e-09	0.107464574	0.00032428937	-0.6593685	-0.6604862	-8e-06	1.3626508e-08
